track_rank,track_id,track_name,artists,track_duration,track_is_explicit,track_popularity,album_id,album_name,album_release_year,album_type,artist_name,artist_name_others,artist_id,artist_id_others,track_danceability,track_energy,track_key,track_loudness,track_mode,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,artist_popularity,artist_followers,artist_genre,artist_genre_others
8,6myUpr3GDR80Dg3zqNTmmG,Another Day,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0fA0VVWsXO9YnASrzqfmYu'}, 'href': 'https://api.spotify.com/v1/artists/0fA0VVWsXO9YnASrzqfmYu', 'id': '0fA0VVWsXO9YnASrzqfmYu', 'name': 'Kid Cudi', 'type': 'artist', 'uri': 'spotify:artist:0fA0VVWsXO9YnASrzqfmYu'}]",3.3297666666666665,True,60,64nbgEEIcY4g1ElVLONJ0w,Man On The Moon III: The Chosen,2020,album,Kid Cudi,,0fA0VVWsXO9YnASrzqfmYu,,0.646,0.758,4,-7.75,0,0.0708,0.556,0.00316,0.335,0.0642,82,6211700,hip hop,"ohio hip hop, rap"
9,0ni6gy2AF4y1XSMEmC9aiW,Earth Death,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5zS8r5hRRk1jzD41yYS1NO'}, 'href': 'https://api.spotify.com/v1/artists/5zS8r5hRRk1jzD41yYS1NO', 'id': '5zS8r5hRRk1jzD41yYS1NO', 'name': 'Baths', 'type': 'artist', 'uri': 'spotify:artist:5zS8r5hRRk1jzD41yYS1NO'}]",4.564016666666666,False,41,4niKC11eq7dRXiDVWsTdEy,Obsidian,2013,album,Baths,,5zS8r5hRRk1jzD41yYS1NO,,0.399,0.588,1,-10.683,1,0.109,0.00141,0.822,0.255,0.0978,40,154232,chillwave,
10,7rSh8WSPh4zifaqKANvytH,Convex Mirror,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0ygIgsjUzKivFgxgjQ9iV9'}, 'href': 'https://api.spotify.com/v1/artists/0ygIgsjUzKivFgxgjQ9iV9', 'id': '0ygIgsjUzKivFgxgjQ9iV9', 'name': 'Jacques Greene', 'type': 'artist', 'uri': 'spotify:artist:0ygIgsjUzKivFgxgjQ9iV9'}]",4.655883333333334,False,10,30qym0cahQkHnaqdo3g0jq,Fever Focus,2018,album,Jacques Greene,,0ygIgsjUzKivFgxgjQ9iV9,,0.793,0.543,9,-8.54,0,0.0481,0.000188,0.00767,0.0597,0.291,41,83407,canadian electronic,"electronica, float house, future garage, uk bass, wonky"
11,6Ab81Bs9fcOwaTYuBsUUpI,Eazy,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0NbfKEOTQCcwd6o7wSDOHI'}, 'href': 'https://api.spotify.com/v1/artists/0NbfKEOTQCcwd6o7wSDOHI', 'id': '0NbfKEOTQCcwd6o7wSDOHI', 'name': 'The Game', 'type': 'artist', 'uri': 'spotify:artist:0NbfKEOTQCcwd6o7wSDOHI'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x'}, 'href': 'https://api.spotify.com/v1/artists/5K4W6rqBFWDnAN6FQUkS6x', 'id': '5K4W6rqBFWDnAN6FQUkS6x', 'name': 'Kanye West', 'type': 'artist', 'uri': 'spotify:artist:5K4W6rqBFWDnAN6FQUkS6x'}]",3.9048,True,65,26LYxs49CqC9WUZWiEK3jT,Eazy,2022,album,The Game,Kanye West,0NbfKEOTQCcwd6o7wSDOHI,5K4W6rqBFWDnAN6FQUkS6x,0.716,0.551,1,-6.987,1,0.47,0.167,0.0,0.197,0.305,74,4334671,gangster rap,"hip hop, pop rap, rap, southern hip hop"
12,0K5tCOHMG1GN4HsBTOljKm,Famous Monsters,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4tOVIRjlWWfR1RrAxyRqTE'}, 'href': 'https://api.spotify.com/v1/artists/4tOVIRjlWWfR1RrAxyRqTE', 'id': '4tOVIRjlWWfR1RrAxyRqTE', 'name': 'Chromatics', 'type': 'artist', 'uri': 'spotify:artist:4tOVIRjlWWfR1RrAxyRqTE'}]",6.6211,False,35,2TMoP7QgyGeRuortBdbOuQ,Famous Monsters,2020,album,Chromatics,,4tOVIRjlWWfR1RrAxyRqTE,,0.734,0.696,10,-7.852,0,0.0337,0.000872,0.193,0.104,0.444,54,391781,alternative dance,"art pop, chillwave, dream pop, electronica, electropop, modern dream pop, neo-synthpop, new rave"
13,0mWm3UJ86HJ45f5cOGCVS5,Disclosure,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4fTXkZaiJh5qhFfy1M1ixN'}, 'href': 'https://api.spotify.com/v1/artists/4fTXkZaiJh5qhFfy1M1ixN', 'id': '4fTXkZaiJh5qhFfy1M1ixN', 'name': 'Garden State', 'type': 'artist', 'uri': 'spotify:artist:4fTXkZaiJh5qhFfy1M1ixN'}]",7.45275,False,9,2JM7An4CU9Dxa78JyFuXrk,Devotion,2022,album,Garden State,,4fTXkZaiJh5qhFfy1M1ixN,,0.775,0.633,4,-11.74,0,0.0655,0.0824,0.884,0.109,0.111,4,240,,
15,70WSr32oW4jC1na5I0j0D6,Anemone,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/30uiS1n3uIGXJEYFR1GVDy'}, 'href': 'https://api.spotify.com/v1/artists/30uiS1n3uIGXJEYFR1GVDy', 'id': '30uiS1n3uIGXJEYFR1GVDy', 'name': 'The Brian Jonestown Massacre', 'type': 'artist', 'uri': 'spotify:artist:30uiS1n3uIGXJEYFR1GVDy'}]",5.574433333333333,False,61,4kXc4XcGYOpHpXRlWq1RFi,Their Satanic Majesties' Second Request,2008,album,The Brian Jonestown Massacre,,30uiS1n3uIGXJEYFR1GVDy,,0.527,0.636,5,-12.888,0,0.0347,0.0599,0.843,0.204,0.607,54,313845,alternative rock,"bay area indie, chamber psych, neo-psychedelic, shoegaze"
16,43b2628rQP5kzczgGhlAwB,Send Help,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6y80I9YZi4DOpbaSUlL725'}, 'href': 'https://api.spotify.com/v1/artists/6y80I9YZi4DOpbaSUlL725', 'id': '6y80I9YZi4DOpbaSUlL725', 'name': 'Shlohmo', 'type': 'artist', 'uri': 'spotify:artist:6y80I9YZi4DOpbaSUlL725'}]",4.373983333333333,False,9,3yErke3EaUGWPPfZ01aUkF,Rock Music,2019,album,Shlohmo,,6y80I9YZi4DOpbaSUlL725,,0.695,0.66,0,-5.187,1,0.0395,0.0709,0.786,0.0796,0.0384,48,237633,downtempo,"electronica, glitch, uk bass, wonky"
17,1oFyPsdBswNz7HZmmRbJdm,Real Talk,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2NjfafEappzvGGGDdMRJMP'}, 'href': 'https://api.spotify.com/v1/artists/2NjfafEappzvGGGDdMRJMP', 'id': '2NjfafEappzvGGGDdMRJMP', 'name': 'Azizi Gibson', 'type': 'artist', 'uri': 'spotify:artist:2NjfafEappzvGGGDdMRJMP'}]",3.196283333333333,True,23,2Vcn7U58G6GqqG5rwaaas9,Chimera Act,2019,album,Azizi Gibson,,2NjfafEappzvGGGDdMRJMP,,0.433,0.566,5,-6.047,0,0.338,0.0239,2.57e-05,0.868,0.701,52,146469,dark trap,underground hip hop
36,3AOWJL0pXcn2cNa7vACXOm,Intro,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2NjfafEappzvGGGDdMRJMP'}, 'href': 'https://api.spotify.com/v1/artists/2NjfafEappzvGGGDdMRJMP', 'id': '2NjfafEappzvGGGDdMRJMP', 'name': 'Azizi Gibson', 'type': 'artist', 'uri': 'spotify:artist:2NjfafEappzvGGGDdMRJMP'}]",3.5957,True,0,6VTxfTTsn6eAbwA43VYXGR,preHISTORIC Till Death,2016,album,Azizi Gibson,,2NjfafEappzvGGGDdMRJMP,,0.472,0.466,8,-8.568,1,0.0815,0.00501,0.467,0.0895,0.0542,52,146469,dark trap,underground hip hop
